Id,Zone,Type,Location,Baths,Area,Purpose,Bedrooms,Added,Price,hasFlooring,hasElectricityBackup,hasLift,hasGarden,hasParking,hasSwimmingPool,hasJacuzzi,hasMaintenanceStaff,hasSecurityStaff,URL
24467943,Emaar Crescent Bay,Flat,"Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,9.8 Marla,For Sale,2,3 weeks ago,3.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_8_emaar_crescent_bay_emaar_crescent_bay_2_bed_new_apartment-24467943-8503-1.html
23600070,DHA Phase 5,House,"DHA Phase 5, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,5,3 weeks ago,9.75 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_5_500_square_yards_outclass_bungalow_available_for_sale-23600070-1482-1.html
24340386,Bukhari Commercial Area,Flat,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,7.8 Marla,For Sale,3,4 weeks ago,2.15 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_bukhari_commercial_area_3_bed_apartment_for_sale-24340386-6674-1.html
24435978,DHA Phase 7,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",-,12 Marla,For Sale,5,3 weeks ago,7 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_300_sq_yard_bungalow_with_basement_for_sale_in_khayaban_e_rizwan_dha_phase_7_karachi-24435978-1484-1.html
24340049,Bukhari Commercial Area,Flat,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",2,4.4 Marla,For Sale,2,4 weeks ago,1.25 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_bukhari_commercial_area_2_bed_apartment_sale-24340049-6674-1.html
24340537,DHA Phase 4,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",7,12 Marla,For Sale,6,4 weeks ago,7.2 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_4_bungalow_for_sale-24340537-1481-1.html
24586781,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",7,2 Kanal,For Sale,6,2 weeks ago,24 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_architect_built_1000__sq_yards_brand_new_ultra_modern_house-24586781-1485-1.html
23176267,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,6,3 weeks ago,12.75 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_bungalow_with_basement_is_available_for_sale-23176267-1485-1.html
24632633,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",7,2 Kanal,For Sale,6,2 weeks ago,25.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_1000_yards_brand_new_architect_built_bungalow-24632633-1485-1.html
24286919,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,6,2 weeks ago,13 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_ground_1st_floor_house_is_available_for_sale-24286919-1485-1.html
24497951,DHA Phase 7 Extension,House,"DHA Phase 7 Extension, DHA Defence, Karachi, Sindh",4,4 Marla,For Sale,4,23 hours ago,3.2 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_defence_dha_phase_7_extension_100_yard_phase_7_ext_ayubi_lane_6-24497951-1674-1.html
24225949,DHA Phase 5,Flat,"DHA Phase 5, DHA Defence, Karachi, Sindh",4,10.7 Marla,For Sale,4,23 hours ago,3.15 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_5_full_renovated_beautiful_apartment_for_sale-24225949-1482-1.html
17793101,Bukhari Commercial Area,Flat,"Bukhari Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,7.6 Marla,For Sale,3,3 weeks ago,2.85 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_bukhari_commercial_area_3_bed_rooms_apartment_in_bukhari_commercial_with_lift_is_available_for_sale-17793101-6674-1.html
24641088,Zamzama Commercial Area,Flat,"Zamzama Commercial Area, DHA Phase 5, DHA Defence, Karachi, Sindh",2,4.4 Marla,For Sale,4,23 hours ago,1.8 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_5_zamzama_commercial_area_1000__square_feet_flat_in_central_dha_defence_for_sale-24641088-8486-1.html
24486070,DHA Phase 6,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,12 Marla,For Sale,5,23 hours ago,9.25 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_300_sq__yards_brand_new_out_class_bungalows_for_sale-24486070-1483-1.html
14203376,DHA Phase 4,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",6,1 Kanal,For Sale,6,3 weeks ago,5.75 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_4_2_unit_old_500_sq_yards_bungalow_for_sale_in_dha_phase_4_gizri-14203376-1481-1.html
24764962,DHA Phase 4,Flat,"DHA Phase 4, DHA Defence, Karachi, Sindh",3,8 Marla,For Sale,3,2 days ago,1.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_4_200_yds__full_floor_apartment_for_sale-24764962-1481-1.html
24456210,Nishat Commercial Area,Flat,"Nishat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",4,5.1 Marla,For Sale,3,2 days ago,1.75 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_nishat_commercial_area_3_bedroom_drawing_dining_first_floor_with_left_bungalow_facing_outclass-24456210-8491-1.html
